code,lat,lon,name,city,state,country,woeid,tz,phone,type,email,url,runway_length,elev,icao,direct_flights,carriers
HUT,38.0559773,-97.93021069999999,"Hutchinson, Kansas",Hutchinson,KS,United States,,,,Railway Stations,,,,,,0,0
HUN,38.415935,-82.439712,"Huntington, West Virginia",Huntington,WV,United States,,,,Railway Stations,,,,,,0,0
IND,39.7624177,-86.1603324,"Indianapolis, Indiana",Indianapolis,IN,United States,,,,Railway Stations,,,,,,0,0
IDP,39.0874466,-94.4289749,"Independence, Missouri",Independence,MO,United States,,,,Railway Stations,,,,,,0,0
IRV,33.6563752,-117.7342281,"Irvine, California",Irvine,CA,United States,,,,Railway Stations,,,,,,0,0
JAX,30.3656829,-81.72384780000002,"Jacksonville, Florida",Jacksonville,FL,United States,,,,Railway Stations,,,,,,0,0
JAN,32.300885,-90.1910166,"Jackson, Mississippi",Jackson,MS,United States,,,,Railway Stations,,,,,,0,0
JOL,41.5244668,-88.07963459999999,"Joliet, Illinois",Joliet,IL,United States,,,,Railway Stations,,,,,,0,0
JEF,38.576312,-92.17254899999999,"Jefferson City, Missouri",Jefferson City,MO,United States,,,,Railway Stations,,,,,,0,0
JST,40.3296876,-78.9220429,"Johnstown, Pennsylvania",Johnstown,PA,United States,,,,Railway Stations,,,,,,0,0
JSP,31.6105046,-81.8767541,"Jesup, Georgia",Jesup,GA,United States,,,,Railway Stations,,,,,,0,0
KAN,35.4960414,-80.6247593,"Kannapolis, North Carolina",Kannapolis,NC,United States,,,,Railway Stations,,,,,,0,0
JXN,42.2479591,-84.39975070000001,"Jackson, Michigan",Jackson,MI,United States,,,,Railway Stations,,,,,,0,0
KAL,42.2950535,-85.58335369999999,"Kalamazoo, Michigan",Kalamazoo,MI,United States,,,,Railway Stations,,,,,,0,0
KCY,39.08537490000001,-94.5861078,"Kansas City, Missouri",Kansas City,MO,United States,,,,Railway Stations,,,,,,0,0
KEL,46.1421959,-122.9132562,"Kelso-Longview, Washington",Kelso,WA,United States,,,,Railway Stations,,,,,,0,0
KEE,41.2463241,-89.9263589,"Kewanee, Illinois",Kewanee,IL,United States,,,,Railway Stations,,,,,,0,0
KFS,42.2255196,-121.7718305,"Klamath Falls, Oregon",Klamath Falls,OR,United States,,,,Railway Stations,,,,,,0,0
KIN,41.4838754,-71.5605825,"West Kingston, Rhode Island",West Kingston,RI,United States,,,,Railway Stations,,,,,,0,0
KIS,28.293873,-81.40427,"Kissimmee, Florida",Kissimmee,FL,United States,,,,Railway Stations,,,,,,0,0
KKI,41.119011,-87.865782,"Kankakee, Illinois",Kankakee,IL,United States,,,,Railway Stations,,,,,,0,0
KNG,35.1877464,-114.0531661,"Kingman, Arizona",Kingman,AZ,United States,,,,Railway Stations,,,,,,0,0
COI,39.6444689,-85.1312056,"Connersville, Indiana",Connersville,IN,United States,,,,Railway Stations,,,,,,0,0
COC,36.0980473,-119.5572861,"Corcoran, California",Corcoran,CA,United States,,,,Railway Stations,,,,,,0,0
COV,40.0195363,-79.5924192,"Connellsville, Pennsylvania",Connellsville,PA,United States,,,,Railway Stations,,,,,,0,0
COT,39.9856799,-75.820617,"Coatesville, Pennsylvania",Coatesville,PA,United States,,,,Railway Stations,,,,,,0,0
COX,39.0984766,-120.953155,"Colfax, California",Colfax,CA,United States,,,,Railway Stations,,,,,,0,0
CPN,34.3966997,-119.523087,"Carpinteria, California",Carpinteria,CA,United States,,,,Railway Stations,,,,,,0,0
CRF,40.0440772,-86.899833,"Crawfordsville (Amtrak), Indiana",Crawfordsville,IN,United States,,,,Railway Stations,,,,,,0,0
CRT,41.1929118,-73.8831264,"Croton Harmon, New York",Croton-on-Hudson,NY,United States,,,,Railway Stations,,,,,,0,0
CRV,39.2793073,-89.8891923,"Carlinville, Illinois",Carlinville,IL,United States,,,,Railway Stations,,,,,,0,0
CRN,41.0573616,-94.36144829999999,"Creston, Iowa",Creston,IA,United States,,,,Railway Stations,,,,,,0,0
CUM,39.6507253,-78.7579255,"Cumberland, Maryland",Cumberland,MD,United States,,,,Railway Stations,,,,,,0,0
CTL,46.7177596,-122.9528291,"Centralia, Washington",Centralia,WA,United States,,,,Railway Stations,,,,,,0,0
CSN,34.6910067,-82.8338156,"Clemson, South Carolina",Clemson,SC,United States,,,,Railway Stations,,,,,,0,0
CUT,48.638524,-112.3315116,"Cut Bank, Montana",Cut Bank,MT,United States,,,,Railway Stations,,,,,,0,0
CVS,38.0314341,-78.49181469999999,"Charlottesville, Virginia",Charlottesville,VA,United States,,,,Railway Stations,,,,,,0,0
CWT,34.2519101,-118.5987594,"Chatsworth, California",Chatsworth,CA,United States,,,,Railway Stations,,,,,,0,0
CWH,40.0703514,-74.95102969999999,"Cornwells Heights, Pennsylvania",Cornwells Heights,PA,United States,,,,Railway Stations,,,,,,0,0
DAL,32.7761888,-96.8075136,"Dallas, Texas",Dallas,TX,United States,,,,Railway Stations,,,,,,0,0
CYN,35.78842849999999,-78.7822338,"Cary, North Carolina",Cary,NC,United States,,,,Railway Stations,,,,,,0,0
DAN,36.5841172,-79.3846682,"Danville, Virginia",Danville,VA,United States,,,,Railway Stations,,,,,,0,0
DAV,38.5437102,-121.7383972,"Davis, California",Davis,CA,United States,,,,Railway Stations,,,,,,0,0
DDG,37.75269840000001,-100.0169778,"Dodge City, Kansas",Dodge City,KS,United States,,,,Railway Stations,,,,,,0,0
DEN,39.7531224,-105.0001446,"Denver, Colorado",Denver,CO,United States,,,,Railway Stations,,,,,,0,0
DER,42.3125186,-83.1985698,"Dearborn, Michigan",Dearborn,MI,United States,,,,Railway Stations,,,,,,0,0
DEM,32.270743,-107.7553988,"Deming, New Mexico",Deming,NM,United States,,,,Railway Stations,,,,,,0,0
DET,42.3680409,-83.0722789,"Detroit, Michigan",Detroit,MI,United States,,,,Railway Stations,,,,,,0,0
DFB,26.316971,-80.12224300000001,"Deerfield Beach, Florida",Deerfield Beach,FL,United States,,,,Railway Stations,,,,,,0,0
DIL,34.4175758,-79.37217179999999,"Dillon, South Carolina",Dillon,SC,United States,,,,Railway Stations,,,,,,0,0
DHM,43.1393624,-70.9361321,"Durham, New Hampshire",Durham,NH,United States,,,,Railway Stations,,,,,,0,0
DLB,26.4551282,-80.0926607,"Delray Beach, Florida",Delray Beach,FL,United States,,,,Railway Stations,,,,,,0,0
DNC,35.997154,-78.90745,"Durham, North Carolina",Durham,NC,United States,,,,Railway Stations,,,,,,0,0
DLD,29.0167306,-81.3533952,"Deland, Florida",Deland,FL,United States,,,,Railway Stations,,,,,,0,0
DLK,46.81980540000001,-95.84602880000001,"Detroit Lakes, Minnesota",Detroit Lakes,MN,United States,,,,Railway Stations,,,,,,0,0
DNK,33.3267817,-81.1486529,"Denmark, South Carolina",Denmark,SC,United States,,,,Railway Stations,,,,,,0,0
DOV,43.1943694,-70.87639279999999,"Dover, New Hampshire",Dover,NH,United States,,,,Railway Stations,,,,,,0,0
DOA,41.9820102,-86.1080765,"Dowagiac, Michigan",Dowagiac,MI,United States,,,,Railway Stations,,,,,,0,0
DOW,40.002553,-75.7104016,"Downingtown, Pennsylvania",Downingtown,PA,United States,,,,Railway Stations,,,,,,0,0
DRD,42.9104531,-83.9821857,"Durand, Michigan",Durand,MI,United States,,,,Railway Stations,,,,,,0,0
DQN,38.0122437,-89.24014389999999,"Du Quoin, Illinois",Du Quoin,IL,United States,,,,Railway Stations,,,,,,0,0
DRT,29.3632337,-100.9016846,"Del Rio, Texas",Del Rio,TX,United States,,,,Railway Stations,,,,,,0,0
DUN,41.2112326,-122.2705861,"Dunsmuir (Amtrak Station), California",Dunsmuir,CA,United States,,,,Railway Stations,,,,,,0,0
DVL,48.1106932,-98.86158479999999,"Devils Lake, North Dakota",Devils Lake,ND,United States,,,,Railway Stations,,,,,,0,0
DWT,41.0938744,-88.4268067,"Dwight, Illinois",Dwight,IL,United States,,,,Railway Stations,,,,,,0,0
DYE,41.5150078,-87.5187497,"Dyer, Indiana",Dyer,IN,United States,,,,Railway Stations,,,,,,0,0
EFG,39.1170402,-88.5471977,"Effingham, Illinois",Effingham,IL,United States,,,,Railway Stations,,,,,,0,0
EDM,47.8111305,-122.3841639,"Edmonds, Washington",Edmonds,WA,United States,,,,Railway Stations,,,,,,0,0
EKH,41.680614,-85.972208,"Elkhart, Indiana",Elkhart,IN,United States,,,,Railway Stations,,,,,,0,0
ELP,31.757389,-106.4958622,"El Paso, Texas",El Paso,TX,United States,,,,Railway Stations,,,,,,0,0
ELK,40.8367006,-115.7546836,"Elko, Nevada",Elko,NV,United States,,,,Railway Stations,,,,,,0,0
ELT,40.1476261,-76.613671,"Elizabethtown, Pennsylvania",Elizabethtown,PA,United States,,,,Railway Stations,,,,,,0,0
ELY,41.3694622,-82.0969507,"Elyria, Ohio",Elyria,OH,United States,,,,Railway Stations,,,,,,0,0
EMY,37.8406179,-122.2917696,"Emeryville, California",Emeryville,CA,United States,,,,Railway Stations,,,,,,0,0
EPH,47.3203743,-119.5499912,"Ephrata, Washington",Ephrata,WA,United States,,,,Railway Stations,,,,,,0,0
ERI,42.1207438,-80.0823217,"Erie, Pennsylvania",Erie,PA,United States,,,,Railway Stations,,,,,,0,0
ESX,44.492575,-73.1101769,"Essex Junction, Vermont",Essex Jct.,VT,United States,,,,Railway Stations,,,,,,0,0
ESM,48.2782924,-113.6106277,"Essex, Montana",Essex,MT,United States,,,,Railway Stations,,,,,,0,0
EUG,44.0551543,-123.0923357,"Eugene, Oregon",Eugene,OR,United States,,,,Railway Stations,,,,,,0,0
EWR,40.6895314,-74.1744624,"Newark Liberty International Airport, New Jersey",Newark,NJ,United States,,,,Railway Stations,,,,,,0,0
EVR,47.97551199999999,-122.197854,"Everett, Washington",Everett,WA,United States,,,,Railway Stations,,,,,,0,0
EXT,40.019918,-75.62148959999999,"Exton, Pennsylvania",Exton,PA,United States,,,,Railway Stations,,,,,,0,0
EXR,42.9813098,-70.957758,"Exeter, New Hampshire",Exeter,NH,United States,,,,Railway Stations,,,,,,0,0
FAR,46.88098799999999,-96.7851901,"Fargo, North Dakota",Fargo,ND,United States,,,,Railway Stations,,,,,,0,0
FBG,38.2984265,-77.457009,"Fredericksburg, Virginia",Fredericksburg,VA,United States,,,,Railway Stations,,,,,,0,0
FAY,35.0551133,-78.88472940000001,"Fayetteville, North Carolina",Fayetteville,NC,United States,,,,Railway Stations,,,,,,0,0
FED,43.2693196,-73.5809645,"Fort Edward-Glens Falls, New York",Fort Edward,NY,United States,,,,Railway Stations,,,,,,0,0
FHV,43.594801,-73.2657155,"Fair Haven, Vermont",Fair Haven,VT,United States,,,,Railway Stations,,,,,,0,0
FLN,43.0154995,-83.6515002,"Flint, Michigan",Flint,MI,United States,,,,Railway Stations,,,,,,0,0
FLG,35.1973197,-111.6491835,"Flagstaff, Arizona",Flagstaff,AZ,United States,,,,Railway Stations,,,,,,0,0
FLO,34.1993274,-79.7575257,"Florence, South Carolina",Florence,SC,United States,,,,Railway Stations,,,,,,0,0
FMG,40.2553837,-103.8014929,"Fort Morgan, Colorado",Fort Morgan,CO,United States,,,,Railway Stations,,,,,,0,0
FMD,40.6239069,-91.33329379999999,"Fort Madison, Iowa",Fort Madison,IA,United States,,,,Railway Stations,,,,,,0,0
FMT,37.55914730000001,-122.0073505,"Fremont (Trains, Capitol Buses), California",Fremont,CA,United States,,,,Railway Stations,,,,,,0,0
FNO,36.738757,-119.7829731,"Fresno, California",Fresno,CA,United States,,,,Railway Stations,,,,,,0,0
FRA,42.2761821,-71.4190887,"Framingham, Massachusetts",Framingham,MA,United States,,,,Railway Stations,,,,,,0,0
FTL,26.1194674,-80.16997599999999,"Fort Lauderdale, Florida",Fort Lauderdale,FL,United States,,,,Railway Stations,,,,,,0,0
FTC,43.8486707,-73.4234531,"Ticonderoga, New York",Ticonderoga,NY,United States,,,,Railway Stations,,,,,,0,0
FTW,32.7527074,-97.3264477,"Fort Worth, Texas",Fort Worth,TX,United States,,,,Railway Stations,,,,,,0,0
FTN,36.5252618,-88.8881739,"Fulton, Kentucky",Fulton,KY,United States,,,,Railway Stations,,,,,,0,0
GAC,37.4068838,-121.9671246,"Santa Clara (Great America), California",Santa Clara,CA,United States,,,,Railway Stations,,,,,,0,0
GAS,35.2676459,-81.1628688,"Gastonia, North Carolina",Gastonia,NC,United States,,,,Railway Stations,,,,,,0,0
FUL,33.8688462,-117.9227919,"Fullerton, California",Fullerton,CA,United States,,,,Railway Stations,,,,,,0,0
GBB,40.9448922,-90.364627,"Galesburg, Illinois",Galesburg,IL,United States,,,,Railway Stations,,,,,,0,0
GCK,37.9642,-100.8732946,"Garden City, Kansas",Garden City,KS,United States,,,,Railway Stations,,,,,,0,0
GDL,34.1236768,-118.2589695,"Glendale, California",Glendale,CA,United States,,,,Railway Stations,,,,,,0,0
GFV,42.3069642,-83.2296855,"Greenfield Village, Michigan",Dearborn,MI,United States,,,,Railway Stations,,,,,,0,0
GFK,47.9181828,-97.1119595,"Grand Forks, North Dakota",Grand Forks,ND,United States,,,,Railway Stations,,,,,,0,0
GGW,48.1938527,-106.6333445,"Glasgow, Montana",Glasgow,MT,United States,,,,Railway Stations,,,,,,0,0
GLE,33.6249749,-97.1406976,"Gainesville, Texas",Gainesville,TX,United States,,,,Railway Stations,,,,,,0,0
GJT,39.0646037,-108.5705833,"Grand Junction, Colorado",Grand Junction,CO,United States,,,,Railway Stations,,,,,,0,0
GLN,42.0750001,-87.80568330000001,"Glenview, Illinois",Glenview,IL,United States,,,,Railway Stations,,,,,,0,0
GLP,35.5289141,-108.7400151,"Gallup, New Mexico",Gallup,NM,United States,,,,Railway Stations,,,,,,0,0
GLM,40.7618594,-87.994119,"Gilman, Illinois",Gilman,IL,United States,,,,Railway Stations,,,,,,0,0
GNB,40.3050212,-79.5469746,"Greensburg, Pennsylvania",Greensburg,PA,United States,,,,Railway Stations,,,,,,0,0
GNS,34.2887268,-83.819597,"Gainesville, Georgia",Gainesville,GA,United States,,,,Railway Stations,,,,,,0,0
GPK,48.4422016,-113.2193442,"East Glacier Park, Montana",East Glacier Park,MT,United States,,,,Railway Stations,,,,,,0,0
GRO,36.0692681,-79.78760319999999,"Greensboro, North Carolina",Greensboro,NC,United States,,,,Railway Stations,,,,,,0,0
GRA,40.0845596,-105.9392563,"Granby, Colorado",Granby,CO,United States,,,,Railway Stations,,,,,,0,0
GRI,38.99335130000001,-110.1652052,"Green River, Utah",Green River,UT,United States,,,,Railway Stations,,,,,,0,0
GRR,42.9564194,-85.67861800000001,"Grand Rapids, Michigan",Grand Rapids,MI,United States,,,,Railway Stations,,,,,,0,0
GRV,34.858514,-82.41351019999999,"Greenville, South Carolina",Greenville,SC,United States,,,,Railway Stations,,,,,,0,0
GTA,34.4376026,-119.8429508,"Goleta, California",Goleta,CA,United States,,,,Railway Stations,,,,,,0,0
GSC,39.5480212,-107.3231977,"Glenwood Springs, Colorado",Glenwood Springs,CO,United States,,,,Railway Stations,,,,,,0,0
GUA,34.9629293,-120.5734668,"Guadalupe, California",Guadalupe,CA,United States,,,,Railway Stations,,,,,,0,0
GVB,35.1219552,-120.6290631,"Grover Beach, California",Grover Beach,CA,United States,,,,Railway Stations,,,,,,0,0
HAM,34.8827151,-79.69832579999999,"Hamlet, North Carolina",Hamlet,NC,United States,,,,Railway Stations,,,,,,0,0
GWD,33.5173705,-90.1764606,"Greenwood, Mississippi",Greenwood,MS,United States,,,,Railway Stations,,,,,,0,0
HAR,40.2611253,-76.87820169999999,"Harrisburg, Pennsylvania",Harrisburg,PA,United States,,,,Railway Stations,,,,,,0,0
HAS,40.5840227,-98.38762799999999,"Hastings, Nebraska",Hastings,NE,United States,,,,Railway Stations,,,,,,0,0
HAV,48.5543211,-109.6790634,"Havre, Montana",Havre,MT,United States,,,,Railway Stations,,,,,,0,0
HAY,37.6668024,-122.0988409,"Hayward, California",Hayward,CA,United States,,,,Railway Stations,,,,,,0,0
HAZ,31.8631484,-90.3943616,"Hazlehurst, Mississippi",Hazlehurst,MS,United States,,,,Railway Stations,,,,,,0,0
HBG,31.3270929,-89.2864075,"Hattiesburg, Mississippi",Hattiesburg,MS,United States,,,,Railway Stations,,,,,,0,0
HER,39.685036,-110.8546192,"Helper, Utah",Helper,UT,United States,,,,Railway Stations,,,,,,0,0
HEM,38.707342,-91.432788,"Hermann, Missouri",Herman,MO,United States,,,,Railway Stations,,,,,,0,0
HFY,39.3232101,-77.7297743,"Harpers Ferry, West Virginia",Harpers Ferry,WV,United States,,,,Railway Stations,,,,,,0,0
HFD,41.7688778,-72.6816228,"Hartford, Connecticut",Hartford,CT,United States,,,,Railway Stations,,,,,,0,0
HGD,40.4837559,-78.0109962,"Huntingdon, Pennsylvania",Huntingdon,PA,United States,,,,Railway Stations,,,,,,0,0
HHL,42.77268,-71.08588929999999,"Haverhill, Massachusetts",Haverhill,MA,United States,,,,Railway Stations,,,,,,0,0
HIN,37.6768,-80.88875469999999,"Hinton, West Virginia",Hinton,WV,United States,,,,Railway Stations,,,,,,0,0
HMI,41.6910817,-87.506592,"Hammond-Whiting, Indiana",Hammond,IN,United States,,,,Railway Stations,,,,,,0,0
HLD,40.4361095,-99.37127319999999,"Holdrege, Nebraska",Holdrege,NE,United States,,,,Railway Stations,,,,,,0,0
HMD,30.5069212,-90.4622404,"Hammond, Louisiana",Hammond,LA,United States,,,,Railway Stations,,,,,,0,0
HMW,41.5626681,-87.6686445,"Homewood, Illinois",Homewood,IL,United States,,,,Railway Stations,,,,,,0,0
HNF,36.3260902,-119.6519805,"Hanford, California",Hanford,CA,United States,,,,Railway Stations,,,,,,0,0
HOL,26.0118668,-80.1678324,"Hollywood, Florida",Hollywood,FL,United States,,,,Railway Stations,,,,,,0,0
HOM,42.7910877,-86.0974772,"Holland, Michigan",Holland,MI,United States,,,,Railway Stations,,,,,,0,0
HOS,29.7673564,-95.3675217,"Houston, Texas",Houston,TX,United States,,,,Railway Stations,,,,,,0,0
HPT,35.957234,-80.0062375,"High Point, North Carolina",High Point,NC,United States,,,,Railway Stations,,,,,,0,0
HUD,42.2540762,-73.7977361,"Hudson, New York",Hudson,NY,United States,,,,Railway Stations,,,,,,0,0
KTR,33.6635971,-79.82910509999999,"Kingstree, South Carolina",Kingstree,SC,United States,,,,Railway Stations,,,,,,0,0
LAB,40.3183684,-79.3854329,"Latrobe, Pennsylvania",Latrobe,PA,United States,,,,Railway Stations,,,,,,0,0
KWD,38.5809698,-90.4068197,"Kirkwood, Missouri",Kirkwood,MO,United States,,,,Railway Stations,,,,,,0,0
LAG,41.81575290000001,-87.87103739999999,"La Grange, Illinois",La Grange,IL,United States,,,,Railway Stations,,,,,,0,0
LAJ,37.988346,-103.5432024,"La Junta, Colorado",La Junta,CO,United States,,,,Railway Stations,,,,,,0,0
LAF,40.4194209,-86.89613229999999,"Lafayette, Indiana",Lafayette,IN,United States,,,,Railway Stations,,,,,,0,0
LAP,40.029315,-92.492995,"La Plata, Missouri",La Plata,MO,United States,,,,Railway Stations,,,,,,0,0
LAK,28.0457558,-81.95188569999999,"Lakeland, Florida",Lakeland,FL,United States,,,,Railway Stations,,,,,,0,0
LAX,34.056116,-118.2375014,"Los Angeles, California",Los Angeles,CA,United States,,,,Railway Stations,,,,,,0,0
LAU,31.6915246,-89.12828119999999,"Laurel, Mississippi",Laurel,MS,United States,,,,Railway Stations,,,,,,0,0
LCH,30.2381691,-93.2171307,"Lake Charles, Louisiana",Lake Charles,LA,United States,,,,Railway Stations,,,,,,0,0
LCN,40.147473,-89.3635599,"Lincoln, Illinois",Lincoln,IL,United States,,,,Railway Stations,,,,,,0,0
LDB,32.3501909,-108.7068517,"Lordsburg, New Mexico",Lordsburg,NM,United States,,,,Railway Stations,,,,,,0,0
LEE,38.9126785,-94.3783311,"Lees Summit, Missouri",Lees Summit,MO,United States,,,,Railway Stations,,,,,,0,0
LEW,40.5890863,-77.57869,"Lewistown, Pennsylvania",Lewistown,PA,United States,,,,Railway Stations,,,,,,0,0
LFT,30.2250674,-92.0139063,"Lafayette, Louisiana",Lafayette,LA,United States,,,,Railway Stations,,,,,,0,0
LEX,35.8240265,-80.2533838,"Lexington, North Carolina (Special Stop)",Lexington,NC,United States,,,,Railway Stations,,,,,,0,0
LIB,48.3946559,-115.5497387,"Libby, Montana",Libby,MT,United States,,,,Railway Stations,,,,,,0,0
LKL,28.0457558,-81.95188569999999,"Lakeland, Florida",Lakeland,FL,United States,,,,Railway Stations,,,,,,0,0
LMR,38.0962031,-102.6197456,"Lamar, Colorado",Lamar,CO,United States,,,,Railway Stations,,,,,,0,0
LMY,35.4763492,-105.892068,"Lamy, New Mexico",Lamy,NM,United States,,,,Railway Stations,,,,,,0,0
LNK,40.815089,-96.7114148,"Lincoln, Nebraska",Lincoln,NE,United States,,,,Railway Stations,,,,,,0,0
LNC,40.05447789999999,-76.30782839999999,"Lancaster, Pennsylvania",Lancaster,PA,United States,,,,Railway Stations,,,,,,0,0
LNS,42.7193499,-84.4941024,"East Lansing, Michigan",East Lansing,MI,United States,,,,Railway Stations,,,,,,0,0
